sample	classifier	assembler	tp	tn	fp	fn	accuracy	precision	recall	specificity	false_positive_rate	f1_score
Sample 4	plasme	megahit	15	187062	4936	81	0.9738825783210303	0.0030296909715209048	0.15625	0.9742913988687382	0.025708601131261784	0.005944125222904696
Sample 4	platon	mpspades	63	2	64	0	0.5038759689922481	0.49606299212598426	1	0.030303030303030304	0.9696969696969697	0.6631578947368421
Sample 4	platon	megahit	78	191627	371	18	0.997974949764178	0.17371937639198218	0.8125	0.9980676882050855	0.0019323117949145304	0.2862385321100917
Sample 4	dmc	mpspades	54	26	40	9	0.6201550387596899	0.574468085106383	0.8571428571428571	0.3939393939393939	0.6060606060606061	0.6878980891719746
Sample 4	dmc	megahit	77	169833	22165	19	0.8845148729267962	0.0034619188921859545	0.8020833333333334	0.8845560891259284	0.1154439108740716	0.006894081833646701
Sample 4	plasx09	mpspades	32	57	9	31	0.689922480620155	0.7804878048780488	0.5079365079365079	0.8636363636363636	0.13636363636363635	0.6153846153846154
Sample 4	plasx075	mpspades	40	53	13	23	0.7209302325581395	0.7547169811320755	0.6349206349206349	0.803030303030303	0.19696969696969696	0.6896551724137931
Sample 4	plasx05	mpspades	48	45	21	15	0.7209302325581395	0.6956521739130435	0.7619047619047619	0.6818181818181818	0.3181818181818182	0.7272727272727272
Sample 4	plasx09	megahit	46	191926	72	50	0.9993648942705134	0.3898305084745763	0.4791666666666667	0.9996249960937094	3.7500390629069055e-4	0.4299065420560748
Sample 4	plasx075	megahit	58	191848	150	38	0.9990213124824304	0.27884615384615385	0.6041666666666666	0.9992187418618944	7.812581381056052e-4	0.381578947368421
Sample 4	plasx05	megahit	73	191551	447	23	0.9975532812060762	0.14038461538461539	0.7604166666666666	0.9976718507484453	0.0023281492515547036	0.237012987012987
Sample 5	viralverify	mpspades	11	65	0	47	0.6178861788617886	1	0.1896551724137931	1	0	0.3188405797101449
Sample 5	viralverify	megahit	13	228916	103	113	0.9990573654236401	0.11206896551724138	0.10317460317460317	0.9995502556556443	4.4974434435570847e-4	0.10743801652892561
Sample 5	genomad	mpspades	35	56	9	23	0.7398373983739838	0.7954545454545454	0.603448275862069	0.8615384615384616	0.13846153846153847	0.6862745098039215
Sample 5	genomad	megahit	50	228405	614	76	0.9969888062144058	0.07530120481927711	0.3968253968253968	0.9973189997336466	0.0026810002663534465	0.12658227848101267
Sample 5	mobrecon	mpspades	2	65	0	56	0.5447154471544715	1	0.034482758620689655	1	0	0.06666666666666667
Sample 5	mobrecon	megahit	3	228617	402	123	0.9977088742935696	0.007407407407407408	0.023809523809523808	0.9982446871220292	0.0017553128779708234	0.011299435028248588
Sample 5	plasclass	mpspades	19	52	13	39	0.5772357723577236	0.59375	0.3275862068965517	0.8	0.2	0.42222222222222217
Sample 5	plasclass	megahit	39	202473	26546	87	0.8837722839250256	0.001466992665036675	0.30952380952380953	0.8840882197546929	0.11591178024530716	0.0029201452585077307
Sample 5	plasmidfinder	mpspades	0	65	0	58	0.5284552845528455	NA	0	1	0	NA
Sample 5	plasmidfinder	megahit	0	229016	3	126	0.9994370376835628	0	0	0.9999869006501644	1.309934983560316e-5	NA
Sample 5	plasme	mpspades	9	56	9	49	0.5284552845528455	0.5	0.15517241379310345	0.8615384615384616	0.13846153846153847	0.2368421052631579
Sample 5	plasme	megahit	15	223736	5283	111	0.9764603198847891	0.0028312570781426952	0.11904761904761904	0.9769320449395028	0.023067955060497164	0.0055309734513274336
Sample 5	platon	mpspades	58	1	64	0	0.4796747967479675	0.47540983606557374	1	0.015384615384615385	0.9846153846153847	0.6444444444444445
Sample 5	platon	megahit	68	228640	379	58	0.998092910602457	0.15212527964205816	0.5396825396825397	0.9983451154707688	0.0016548845292311991	0.23734729493891799
Sample 5	dmc	mpspades	48	26	39	10	0.6016260162601627	0.5517241379310345	0.8275862068965517	0.4	0.6	0.6620689655172414
Sample 5	dmc	megahit	86	202608	26411	40	0.8845665408365881	0.0032456504509944524	0.6825396825396826	0.8846776904972949	0.11532230950270501	0.006460579198437442
Sample 5	plasx09	mpspades	32	54	11	26	0.6991869918699187	0.7441860465116279	0.5517241379310345	0.8307692307692308	0.16923076923076924	0.6336633663366337
Sample 5	plasx075	mpspades	38	50	15	20	0.7154471544715447	0.71698113207547165	0.6551724137931034	0.7692307692307693	0.23076923076923078	0.6846846846846846
Sample 5	plasx05	mpspades	50	47	18	8	0.7886178861788617	0.7352941176470589	0.8620689655172413	0.7230769230769231	0.27692307692307694	0.7936507936507937
Sample 5	plasx09	megahit	50	228925	94	76	0.999258111676013	0.3472222222222222	0.3968253968253968	0.9995895537051511	4.10446294848899e-4	0.3703703703703703
Sample 5	plasx075	megahit	59	228837	182	67	0.9989133518078073	0.24481327800829875	0.46825396825396826	0.9992053061099734	7.946938900265917e-4	0.3215258855585831
Sample 5	plasx05	megahit	69	228533	486	57	0.9976303214122062	0.12432432432432433	0.5476190476190477	0.9978779053266323	0.002122094673367712	0.2026431718061674
Sample 6	viralverify	mpspades	11	69	1	52	0.6015037593984962	0.9166666666666666	0.1746031746031746	0.9857142857142858	0.014285714285714285	0.29333333333333333
Sample 6	viralverify	megahit	15	246322	112	76	0.9992373998580266	0.11811023622047244	0.16483516483516483	0.9995455172581705	4.5448274182945537e-4	0.13761467889908258
Sample 6	genomad	mpspades	39	57	13	24	0.7218045112781954	0.75	0.6190476190476191	0.8142857142857143	0.18571428571428572	0.6782608695652174
Sample 6	genomad	megahit	45	245678	756	46	0.9967467802454112	0.056179775280898875	0.4945054945054945	0.9969322414926511	0.003067758507348824	0.10089686098654707
Sample 6	mobrecon	mpspades	2	67	3	61	0.518796992481203	0.4	0.031746031746031744	0.9571428571428572	0.04285714285714286	0.058823529411764705
Sample 6	mobrecon	megahit	3	245751	683	88	0.9968725281411621	0.004373177842565598	0.03296703296703297	0.9972284668511651	0.002771533148834982	0.007722007722007722
Sample 6	plasclass	mpspades	20	57	13	43	0.5789473684210527	0.6060606060606061	0.31746031746031744	0.8142857142857143	0.18571428571428572	0.4166666666666667
Sample 6	plasclass	megahit	31	218801	27633	60	0.8876665652570733	0.0011205899363794102	0.34065934065934067	0.8878685570984524	0.11213144290154768	0.0022338317420284633
Sample 6	plasmidfinder	mpspades	0	68	2	63	0.5112781954887218	0	0	0.9714285714285714	0.02857142857142857	NA
Sample 6	plasmidfinder	megahit	0	246430	4	91	0.9996146435452794	0	0	0.9999837684735061	1.623152649390912e-5	NA
Sample 6	plasme	mpspades	9	55	15	54	0.48120300751879697	0.375	0.14285714285714285	0.7857142857142857	0.21428571428571427	0.20689655172413796
